Date,Streamflow(CMS),Baseflow(CMS)
2018-01-14,3.125701812,1.899
2018-01-15,3.081494354,1.873
2018-01-16,3.16254136,1.886
2018-01-17,3.385111149,1.961
2018-01-18,3.799676819,2.126
2018-01-19,3.700995331,2.175
2018-01-20,3.524411056,2.144
2018-01-21,3.430652689,2.1
2018-01-22,3.430652689,2.078
2018-01-23,3.337117262,2.039
2018-01-24,3.185534477,1.973
2018-01-25,3.110965993,1.918
2018-01-26,3.007815258,1.859
2018-01-27,2.935688331,1.809
2018-01-28,2.964273015,1.793
2018-01-29,2.892811304,1.763
2018-01-30,2.857080448,1.738
2018-01-31,2.87137279,1.73
2018-02-01,2.87137279,1.726
2018-02-02,2.907103646,1.735
2018-02-03,2.92854216,1.746
2018-02-04,2.914249817,1.747
2018-02-05,2.835641934,1.723
2018-02-06,2.814203421,1.705
2018-02-07,2.786503195,1.688
2018-02-08,2.738027799,1.665
2018-02-09,2.731102742,1.651
2018-02-10,2.814203421,1.67
2018-02-11,2.793428251,1.673
2018-02-12,2.758802969,1.664
2018-02-13,2.814203421,1.677
2018-02-14,2.821349592,1.685
2018-02-15,2.857080448,1.7
2018-02-16,2.892811304,1.718
2018-02-17,2.878518961,1.723
2018-02-18,2.878518961,1.725
2018-02-19,2.907103646,1.735
2018-02-20,2.914249817,1.742
2018-02-21,3.008480473,1.775
2018-02-22,2.971862663,1.779
2018-02-23,3.044654806,1.804
2018-02-24,3.140437631,1.846
2018-02-25,3.110965993,1.857
2018-02-26,3.066758535,1.848
2018-02-27,3.029918987,1.832
2018-02-28,3.104487471,1.848
2018-03-01,3.607910925,2.012
2018-03-02,3.91577793,2.187
2018-03-03,3.700995331,2.204
2018-03-04,3.628664869,2.19
2018-03-05,8.023118434,3.547
2018-03-06,6.236672219,3.648
2018-03-07,4.634817504,3.199
2018-03-08,4.562421818,2.96
2018-03-09,5.365090176,3.094
2018-03-10,5.130420316,3.086
2018-03-11,4.854948653,2.997
2018-03-12,4.479278392,2.837
2018-03-13,4.257674983,2.691
2018-03-14,4.179279312,2.596
2018-03-15,4.249415781,2.572
2018-03-16,4.855628881,2.749
2018-03-17,4.724631885,2.793
2018-03-18,4.353943342,2.7
2018-03-19,6.309457728,3.262
2018-03-20,9.555183817,4.54
2018-03-21,7.083616555,4.39
2018-03-22,5.963722648,3.97
2018-03-23,5.227724585,3.539
2018-03-24,4.752573103,3.183
2018-03-25,4.443306783,2.916
